date,open,high,low,close,volume
25-07-2023,3397.5,3406.8,3380.2,3399.15,1272980
24-07-2023,3381,3413.45,3372.1,3394.75,1680132
21-07-2023,3404.05,3434.9,3359.05,3368.3,3770223
20-07-2023,3453.1,3478.9,3436.05,3463.3,1715404
19-07-2023,3500,3516.85,3445.65,3470.05,2405370
18-07-2023,3476,3524,3465,3496.85,2600090
17-07-2023,3510,3549.9,3477.05,3491.7,2743228
14-07-2023,3365,3524.85,3352,3514.65,6306101
13-07-2023,3284,3367.45,3272.75,3340.55,4585146
12-07-2023,3280.95,3289.15,3250.1,3259.9,1515240
11-07-2023,3295,3295,3260.8,3272.4,1110172
10-07-2023,3324.75,3324.75,3265.2,3271.95,1407431
07-07-2023,3302,3356.9,3302,3329.25,1789326
06-07-2023,3306.55,3328.45,3302,3322.9,1848238
05-07-2023,3320,3329,3305,3319.95,1453008
04-07-2023,3290,3315,3277.3,3308.85,1656681
03-07-2023,3314.3,3318.8,3268.75,3272.3,1687264
30-06-2023,3220,3310,3214.1,3302.25,2672406
28-06-2023,3208,3230.95,3193.4,3215.45,1575872
27-06-2023,3202,3209.65,3182.3,3197.35,863542
26-06-2023,3205,3213.9,3173,3189.65,1978803
23-06-2023,3237.3,3249.4,3209.15,3216.35,1119505
22-06-2023,3260,3267.65,3230.1,3238.5,1529603
21-06-2023,3250,3261.4,3223.95,3258.2,1645987
20-06-2023,3214,3232.5,3201.05,3227.7,1528452
19-06-2023,3190,3214.9,3175,3210.4,1468186
16-06-2023,3197,3199.4,3156,3174.9,4156189
15-06-2023,3245.3,3247.45,3210,3216.3,2273810
14-06-2023,3243.7,3255.85,3225.85,3251.05,1658544
13-06-2023,3260,3265,3239,3243.7,1371928
12-06-2023,3215,3254.4,3211,3246.9,2324605
09-06-2023,3245,3250,3205.35,3209.3,1775689
08-06-2023,3261,3270,3233,3236.45,1759366
07-06-2023,3253,3278.85,3241,3274.9,1567196
06-06-2023,3280,3288.85,3220.6,3232.3,2022849
05-06-2023,3315,3327,3285.05,3288.9,1861468
02-06-2023,3326.25,3335.9,3297.45,3305.6,2030661
01-06-2023,3314,3340,3297.5,3324,1177314
31-05-2023,3309,3327.7,3265.15,3289.5,5815424
30-05-2023,3315,3326.95,3301.35,3316.2,1344224
29-05-2023,3360.8,3372,3312,3320.35,1210372
26-05-2023,3293.5,3338.65,3291,3328.9,1791115
25-05-2023,3294,3306,3267.1,3293.5,1374917
24-05-2023,3276,3317.2,3276,3303.35,1016555
23-05-2023,3306,3327.95,3290.1,3297.05,1687418
22-05-2023,3230,3308.45,3217.05,3298.7,1333243
19-05-2023,3210,3234.5,3203.05,3222.85,1152449
18-05-2023,3225.95,3228.95,3195,3199.85,1369364
17-05-2023,3255.95,3280,3198.25,3208.7,1588815
16-05-2023,3256.2,3285,3250.45,3258.15,986306
15-05-2023,3284,3292,3248.35,3255.05,1150390
12-05-2023,3279.15,3290,3260,3274.3,1027479
11-05-2023,3309,3309.7,3272,3282.15,1719623
10-05-2023,3290,3306.5,3266.05,3286.8,1559987
09-05-2023,3252.6,3298,3246,3283.25,1107375
08-05-2023,3245,3254.85,3231.3,3250.6,928235
05-05-2023,3220,3244,3210.05,3230.7,1710027
04-05-2023,3180.15,3224.45,3178,3220.7,1953253
03-05-2023,3216,3216,3173.15,3179.9,2468285
02-05-2023,3235,3235,3210,3219.4,2321159
28-04-2023,3200.4,3227.25,3196.25,3219.25,2931312
27-04-2023,3185,3199.2,3170.65,3187.95,2434446
26-04-2023,3181,3208.4,3181,3198.15,2000029
25-04-2023,3183,3191.2,3147.5,3176,2024090
24-04-2023,3151.1,3180.95,3126.15,3174.8,1640676
21-04-2023,3110,3164.45,3100.8,3160.85,1929184
20-04-2023,3090,3113,3078,3104.8,2419999
19-04-2023,3130.75,3140,3071.5,3089.6,3298034
18-04-2023,3154.95,3156.85,3110.6,3130.75,2617302
17-04-2023,3134.1,3163.4,3070.25,3139.5,5505048
